State,DistrictID,DistrictName,UrbanHouseholds,UrbanElectricity,UrbanKerosene,UrbanSolar,UrbanOil,UrbanOther,UrbanNoLight,RuralHouseholds,RuralElectricity,RuralKerosene,RuralSolar,RuralOil,RuralOther,RuralNoLight
Andhra Pradesh,15715, Adilabad ,"177,821 ","169,737 ","6,183 ",766 ,288 ,109 ,738 ,"473,949 ","396,371 ","68,458 ","1,639 ","2,046 ",853 ,"4,582 "
Andhra Pradesh,15716, Anantapur ,"262,726 ","255,906 ","5,246 ",664 ,430 ,142 ,338 ,"698,439 ","642,064 ","49,934 ","1,591 ","1,942 ",575 ,"2,333 "
Andhra Pradesh,15717, Chittoor ,"294,481 ","287,834 ","5,245 ",751 ,262 ,69 ,320 ,"727,635 ","656,721 ","64,450 ","1,802 ","2,211 ",419 ,"2,032 "
Andhra Pradesh,15719, East Godavari ,"344,366 ","335,214 ","7,774 ",615 ,227 ,102 ,434 ,"1,063,044 ","962,059 ","94,372 ","2,161 ","1,170 ",421 ,"2,861 "
Andhra Pradesh,15720, Guntur ,"410,722 ","394,811 ","12,992 ","1,255 ",490 ,260 ,914 ,"877,109 ","791,217 ","77,239 ","1,705 ","1,697 ",741 ,"4,510 "
Andhra Pradesh,15721, Hyderabad ,"881,512 ","869,721 ","5,802 ","3,678 ",756 ,396 ,"1,159 ",0 ,0 ,0 ,0 ,0 ,0 ,0 
Andhra Pradesh,15722, Karimnagar ,"233,783 ","229,003 ","3,750 ",274 ,135 ,105 ,516 ,"746,956 ","697,765 ","40,220 ","1,617 ","1,733 ",929 ,"4,692 "
Andhra Pradesh,15723, Khammam ,"169,096 ","163,133 ","4,856 ",320 ,168 ,190 ,429 ,"578,490 ","505,386 ","65,166 ","1,453 ","2,089 ",778 ,"3,618 "
Andhra Pradesh,15724, Krishna ,"472,896 ","462,028 ","7,688 ","1,484 ",495 ,197 ,"1,004 ","754,361 ","701,904 ","45,622 ","1,956 ","1,355 ",463 ,"3,061 "
Andhra Pradesh,15725, Kurnool ,"246,396 ","238,216 ","5,661 ","1,565 ",242 ,263 ,449 ,"630,786 ","578,505 ","44,930 ","2,084 ","1,564 ",516 ,"3,187 "
Andhra Pradesh,15726, Mahbubnagar ,"123,413 ","119,051 ","3,300 ",348 ,235 ,81 ,398 ,"750,446 ","638,770 ","97,432 ","2,674 ","3,855 ","1,383 ","6,332 "
Andhra Pradesh,15727, Medak ,"155,188 ","150,761 ","3,632 ",264 ,232 ,39 ,260 ,"511,576 ","453,958 ","50,182 ","1,840 ","1,957 ",556 ,"3,083 "
Andhra Pradesh,15728, Nalgonda ,"154,863 ","150,337 ","3,658 ",161 ,201 ,56 ,450 ,"720,569 ","638,888 ","71,149 ","1,728 ","2,586 ","1,628 ","4,590 "
Andhra Pradesh,15730, Nizamabad ,"127,934 ","124,664 ","2,185 ",624 ,133 ,117 ,211 ,"462,799 ","421,249 ","35,516 ","1,197 ","1,514 ",537 ,"2,786 "
Andhra Pradesh,15731, Prakasam ,"164,734 ","157,143 ","6,285 ",369 ,275 ,87 ,575 ,"692,542 ","606,603 ","78,484 ","1,551 ","1,618 ",415 ,"3,871 "
Andhra Pradesh,15733, Srikakulam ,"109,275 ","105,160 ","3,626 ",81 ,81 ,33 ,294 ,"580,048 ","510,272 ","65,946 ",850 ,"1,315 ",223 ,"1,442 "
Andhra Pradesh,15734, Vishakhapatnam ,"542,692 ","524,741 ","14,165 ","2,291 ",394 ,178 ,923 ,"583,474 ","485,509 ","92,084 ","2,078 ","1,572 ",370 ,"1,861 "
Andhra Pradesh,15735, Vizianagaram ,"121,460 ","115,854 ","5,123 ",116 ,178 ,20 ,169 ,"475,145 ","411,882 ","60,417 ",642 ,988 ,175 ,"1,041 "
Andhra Pradesh,15736, Warangal ,"236,299 ","228,815 ","5,716 ",378 ,302 ,406 ,682 ,"652,254 ","599,262 ","45,074 ","1,116 ","1,938 ",996 ,"3,868 "
Andhra Pradesh,15737, West Godavari ,"205,173 ","200,034 ","4,346 ",214 ,118 ,30 ,431 ,"870,607 ","817,534 ","48,102 ",812 ,"1,128 ",286 ,"2,745 "
Arunachal Pradesh,15738, Changlang ,"4,027 ","3,899 ",95 ,2 ,4 ,9 ,18 ,"15,458 ","12,127 ","2,180 ",58 ,17 ,95 ,981 
Arunachal Pradesh,15739, East Kameng ,"3,532 ","3,466 ",57 ,4 ,3 ,0 ,2 ,"11,078 ","1,852 ","1,982 ",749 ,72 ,989 ,"5,434 "
Arunachal Pradesh,15740, East Siang ,"1,534 ","1,506 ",14 ,4 ,0 ,2 ,8 ,"5,652 ","4,692 ",147 ,463 ,20 ,227 ,103 
Arunachal Pradesh,15741, Kurung Kumey ,545 ,498 ,32 ,0 ,14 ,0 ,1 ,"15,417 ","3,413 ","1,499 ",869 ,65 ,720 ,"8,851 "
Arunachal Pradesh,15742, Lohit ,"6,995 ","6,173 ",713 ,2 ,2 ,3 ,102 ,"22,412 ","10,984 ","10,637 ",38 ,86 ,31 ,636 
Arunachal Pradesh,15743, Lower Dibang Valley ,"2,257 ","2,195 ",48 ,1 ,11 ,0 ,2 ,"8,626 ","3,737 ","3,141 ","1,222 ",83 ,105 ,338 
Arunachal Pradesh,15744, Lower Subansiri ,"5,087 ","5,032 ",52 ,1 ,0 ,1 ,1 ,"15,387 ","9,172 ","1,864 ","1,344 ",46 ,555 ,"2,406 "
Arunachal Pradesh,15745, Papum Pare ,"19,939 ","19,504 ",278 ,22 ,18 ,74 ,43 ,"13,537 ","11,035 ","1,397 ",128 ,71 ,173 ,733 
Arunachal Pradesh,15746, Tawang ,"1,586 ","1,582 ",4 ,0 ,0 ,0 ,0 ,"7,891 ","7,053 ",626 ,119 ,4 ,44 ,45 
